URL,Organisatietype,Organisatie,Suborganisatie,Afdeling,Bezoeken/mnd,Voldoet,Totaal,IPv6,DNSSEC,HTTPS,CSP,RefPol.,X-Cont.,X-Frame.,Testdatum,Totaal,IPv6,DNSSEC,STARTTLS en DANE,DMARC,DKIM,SPF,Testdatum,Platformgebruik
http://www.ilent.nl,Rijksoverheid,IenW,ILT,,77939,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://coronadashboard.government.nl,Rijksoverheid,VWS,,Kerndepartement/PDC19,73924,ja,nee,ja,nee,nee,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,nee,,ja,nee,nee,13-2-2023,
http://iplo.nl,Rijksoverheid,IenW,RWS,WVL,71443,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.nza.nl,Overheid,VWS,NZa,,69496,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://magazines.defensie.nl,Rijksoverheid,DEF,,Directie Communicatie,69341,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://werkenbij.rijkswaterstaat.nl,Rijksoverheid,IenW,RWS,,68652,ja,nee,nee,ja,nee,waarschuwing,waarschuwing,waarschuwing,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.paisesbajosmundial.nl,Rijksoverheid,BUZA,,,66489,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.nlarbeidsinspectie.nl,Rijksoverheid,SZW,Inspectie SZW,,66030,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,21-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.nix18.nl,Rijksoverheid,VWS,,Kerndepartement/VGP,65837,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.donorregister.nl,Rijksoverheid,VWS,CIBG,,64104,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://waarzitwatin.nl,Rijksoverheid,VWS,,Kerndepartement/VGP,63122,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,waarschuwing,info,20-2-2023,ja,ja,ja,,ja,ja,ja,13-2-2023,
http://www.aivd.nl,Rijksoverheid,BZK,AIVD,,62662,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.pianoo.nl,Overheid,EZK,PIANOo,,62557,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,ja,ja,nee,ja,13-2-2023,DICTU Platform (EZK/DICTU)
http://www.gezondheidsraad.nl,Overheid,VWS,,Kerndepartement/GR,61534,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
